artist,artist_normalized,appearance_count,country,state_region,city,current_base,gender_identity,artist_type,home_scene,genre_tags,style_tags,performance_type,instruments,languages,career_stage,labels,notable_releases,notable_collaborations,signal_status,spotify_found,soundcloud_found,bandcamp_found,apple_music_found,catalogue_signal,external_signal,website,spotify_url,soundcloud_url,bandcamp_url,apple_music_url,discovery_character,discovery_note,sources,last_verified
BAAAHS DJs,baaahs djs,6,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Idlis on the Mic,idlis on the mic,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Chowsnestster,chowsnestster,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Unkl Vic,unkl vic,5,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kosmozoo Downtempo,kosmozoo downtempo,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kanizzle,kanizzle,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Mr. Jennings,mr. jennings,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Grease Withaspoon,grease withaspoon,4,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Crowsnestster,crowsnestster,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Ali Luminescent,ali luminescent,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Jex,jex,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Davidi,davidi,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ Johnny Klutch,dj johnny klutch,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ Stormy,dj stormy,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ Narkatta,dj narkatta,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ Laz,dj laz,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Camp AXO DJs,camp axo djs,4,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Lalo,lalo,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Taylor Allen,taylor allen,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Neon Dots!,neon dots!,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
SILKWORM,silkworm,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
nomattic,nomattic,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Dirty Texans,dirty texans,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Vesper Belle,vesper belle,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Posh Josh,posh josh,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Black Panda,black panda,4,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
DJ Icon,dj icon,5,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Jules Thorn,jules thorn,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Bad Asstronaut Residents,bad asstronaut residents,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Right Cheek,right cheek,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Swingline,swingline,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Children's Hour Radio Theater,children's hour radio theater,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Contessa,contessa,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Alien Worlds,alien worlds,6,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Sunrise Sets,sunrise sets,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
KAEZ simulcast,kaez simulcast,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Eagle Eye,eagle eye,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Spit Bucket,spit bucket,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Please Leave,please leave,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Know your regionals,know your regionals,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Burners without Borders,burners without borders,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Burger Pockets,burger pockets,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Beat Kitty,beat kitty,4,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Klee,klee,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Full Service,full service,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Face,face,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Tango,tango,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Brendan Burke,brendan burke,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Electric Angel,electric angel,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Christina's artists + Paute tribe,christina's artists + paute tribe,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Jacob Timothy,jacob timothy,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Moni,moni,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Hooolia,hooolia,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kina,kina,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Noumena,noumena,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
RoyGBiv,roygbiv,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Nasty Nate,nasty nate,4,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Zank,zank,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
De La Mora,de la mora,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
HugoA,hugoa,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Igor Marijuan,igor marijuan,5,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Leyl Master Black,leyl master black,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Seth Schwarz,seth schwarz,4,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Zenti,zenti,3,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
&ily,&ily,4,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Kirby,kirby,1,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Gongo,gongo,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
Iman Rizky,iman rizky,2,,,,,,,,,,UNKNOWN,,,,,,,unknown,,,,,,,,,,,,,,,
