artist,artist_normalized,day,set_time,camp,event_theme,location,overall_event_time,performance_type,rsl_flags,live_music_designation,genre_tags,signal_status,source_page,sources
BAAAHS DJs,baaahs djs,SAT PM — SUN AM,12am,BAAAHS,Chaos,Deep Playa,12:00 AM – 06:00 AM,UNKNOWN,,,,unknown,4,RSL 2026 PDF
Idlis on the Mic,idlis on the mic,SAT PM — SUN AM,5am,Black Rock Travel Agency,ShoutingFire/Radio Electra 99.5,Airport Road,05:00 AM – 12:00 PM,UNKNOWN,,,,unknown,4,RSL 2026 PDF
Chowsnestster,chowsnestster,SAT PM — SUN AM,7am,Black Rock Travel Agency,ShoutingFire/Radio Electra 99.5,Airport Road,05:00 AM – 12:00 PM,UNKNOWN,,,,unknown,4,RSL 2026 PDF
Unkl Vic,unkl vic,SAT PM — SUN AM,9am,Black Rock Travel Agency,ShoutingFire/Radio Electra 99.5,Airport Road,05:00 AM – 12:00 PM,UNKNOWN,,,,unknown,4,RSL 2026 PDF
Kosmozoo Downtempo,kosmozoo downtempo,SAT PM — SUN AM,10am,Black Rock Travel Agency,ShoutingFire/Radio Electra 99.5,Airport Road,05:00 AM – 12:00 PM,UNKNOWN,,,,unknown,4,RSL 2026 PDF
Kanizzle,kanizzle,SAT PM — SUN AM,12am,BMIR,94.5 FM The Voice of the Man,Esplanade & 5:45,12:00 AM – 12:00 PM,UNKNOWN,,,,unknown,4,RSL 2026 PDF
Mr. Jennings,mr. jennings,SAT PM — SUN AM,2am,BMIR,94.5 FM The Voice of the Man,Esplanade & 5:45,12:00 AM – 12:00 PM,UNKNOWN,,,,unknown,4,RSL 2026 PDF
Grease Withaspoon,grease withaspoon,SAT PM — SUN AM,4am,BMIR,94.5 FM The Voice of the Man,Esplanade & 5:45,12:00 AM – 12:00 PM,UNKNOWN,,,,unknown,4,RSL 2026 PDF
Crowsnestster,crowsnestster,SAT PM — SUN AM,6am,BMIR,94.5 FM The Voice of the Man,Esplanade & 5:45,12:00 AM – 12:00 PM,UNKNOWN,,,,unknown,4,RSL 2026 PDF
Ali Luminescent,ali luminescent,SAT PM — SUN AM,8am,BMIR,94.5 FM The Voice of the Man,Esplanade & 5:45,12:00 AM – 12:00 PM,UNKNOWN,,,,unknown,4,RSL 2026 PDF
